,0,1,2
0,522510258,俺が一郎,ヒプノシスマイク -D.R.B- (山田一郎)
1,522529202,センセンフコク,ヒプノシスマイク -D.R.B- (山田二郎)
2,522529203,New star,ヒプノシスマイク -D.R.B- (山田三郎)
3,1302091482,WAR WAR WAR,Buster Bros!!!
4,1302084513,IKEBUKURO WEST GAME PARK,Buster Bros!!!
5,1361007399,おはようイケブクロ,Buster Bros!!!
6,1361005667,Hoodstar,Division All Stars
7,1412001714,Break The Wall,ヒプノシスマイク -D.R.B- (山田一郎)
8,1411999899,School of IKB,ヒプノシスマイク -D.R.B- (山田二郎)
9,1412001758,レクイエム,ヒプノシスマイク -D.R.B- (山田三郎)
10,1384496555,Leave Em Alone,Quality Control
11,1901523638,Tell Santa,Tyga
12,18969202,Dark Fantasy,Kanye West
13,1325914866,Runnin,A$AP Rocky
14,27515156,High School,Nicki Minaj
15,27353713,Eastside LB,Twinz
16,1814065778,Havin My Way (feat. Lil Durk),Lil Skies
17,1459888396,Got It On Me,Pop Smoke
18,3494665,Braggin & Boasting,The Sound Providers
19,1458646350,Talk Back,Snow tha Product
20,1885063177,Flocky Flocky (feat. Travis Scott),Don Toliver
21,1892484054,MAFIA,Travis Scott
22,1892483441,ESCAPE PLAN,Travis Scott
23,1378511716,The Relays,Maxo Kream
24,34280323,Pornography,Travis Scott
25,1876360201,durag activity,Baby Keem
26,525278465,Saint Laurent Mask,Huncho Jack
27,1844725293,pick up the phone,Travis Scott
28,428591255,coordinate,Travis Scott
29,525278468,Where U From,Huncho Jack
30,30830919,Five More Hours,Deorro
31,1897542886,‘87 Stingray,Tory Lanez
32,1878097116,V12,iann dior
33,1899942112,FUK EM,SSGKOBE etc
34,407862766,Come and See Me ,PARTYNEXTDOOR
35,27339750,100 Bottles,Wiz Khalifa
36,1895565943,Bag Season,French Montana
37,1805265616,Options,EarthGang
38,442867526,Die For You,The Weeknd
39,5186977,Oh,Ciara
40,1856211434,ADMIT IT,Ski Mask the Slump God
41,1904208094,late at night,Roddy Ricch
42,1904208093,don’t i (feat. Gunna),Roddy Ricch
43,1904205454,thailand,Roddy Ricch
44,1453950214,- TalkToTha -,Dayytona Fox
45,1295179672,Numb & Frozen,Icy Narco
46,1887277134,Insure My Wrist (with Gunna),Young Thug
47,1357769763,That's A Rack,Lil Uzi Vert
48,1471945956,13 Going On 30,Fivio Foreign
49,461811740,Slip On A Banana Clip,$uicideboy$
50,1874158536,SAD,姜云升
51,1336866142,Lovemark,Ouse
52,1875759111,六耳,刘思鉴
53,1826394685,About You,Sik World
